,Values
fastEight,5.8269982387599075
total_chairs,1.1636278228000774
AdultWeekday,0.8204315320850231
daysOpenLastYear,0.039236468969803553
quad,0.024352497292219406
NightSkiing_ac,0.008926211304220376
Runs,0.006433726604488913
fastSixes,0.0038210910245864093
yearsOpen,0.0031552866816599206
vertical_drop,0.0021613036988214667
Snow Making_ac,0.00017388697830563067
SkiableTerrain_ac,-0.0027363378058478166
averageSnowfall,-0.011958382369785492
projectedDaysOpen,-0.029271156444689257
triple,-0.07026264709431658
TerrainParks,-0.19371609212222157
LongestRun_mi,-0.2490701900196236
fastQuads,-0.5924779707842991
double,-0.8246138379119047
trams,-1.580921402486436
surface,-1.6232681459965164
Montana,-5.916431611515365
Explained Variance Score,0.9209121761559097
Mean Absolute Error,5.804175873517489
Y-intercept,14.01287816175811
